step;tempo;distancia;E;K;U;T;raio;virial
22900;229;217.762;1105.93;1106.97;-103.499;737.979;548.477;2212.9
23000;230;218.727;1105.92;1107.51;-159.224;738.343;550.855;2213.44
23100;231;219.718;1105.94;1107.17;-122.872;738.111;553.233;2213.1
23200;232;220.684;1105.93;1107.04;-111.203;738.028;555.612;2212.97
23300;233;221.622;1105.96;1108.18;-221.531;738.784;557.99;2214.14
23400;234;222.492;1105.93;1106.95;-102.073;737.969;560.368;2212.89
23500;235;223.514;1105.91;1108.02;-21.157;738.683;562.746;2213.93
23600;236;224.492;1105.94;1107.06;-112.092;738.038;565.124;2212.99
23700;237;225.44;1105.93;1107.14;-121.062;738.093;567.502;2213.07
23800;238;226.359;1105.95;1107.58;-163.718;738.389;569.88;2213.53
23900;239;227.27;1105.93;1106.96;-102.967;737.975;572.258;2212.89
24000;240;228.356;1105.9;1109.04;-313.883;739.359;574.635;2214.94
24100;241;229.281;1105.93;1106.99;-105.786;737.995;577.013;2212.93
24200;242;230.233;1105.93;1107.31;-138.018;738.204;579.391;2213.23
24300;243;231.148;1105.94;1107.29;-135.073;738.194;581.769;2213.23
24400;244;232.123;1105.93;1107;-106.362;737.997;584.147;2212.93
24500;245;233.227;1105.97;1108.96;-298.497;739.305;586.525;2214.93
24600;246;234.082;1105.93;1106.96;-102.537;737.973;588.903;2212.89
24700;247;234.987;1105.92;1107.61;-169.074;738.407;591.281;2213.53
24800;248;235.852;1105.94;1107.13;-119.134;738.085;593.659;2213.07
24900;249;236.843;1105.93;1107.06;-112.947;73.804;596.037;2212.99
25000;250;237.832;1105.96;1107.97;-201.551;738.647;598.414;2213.93
25100;251;238.688;1105.93;1106.95;-101.739;737.967;600.792;2212.88
25200;252;239.637;1105.9;1108.23;-232.969;738.822;603.17;2214.14
25300;253;240.531;1105.94;1107.03;-109.748;738.022;605.548;2212.97
25400;254;241.568;1105.93;1107.17;-1.243;738.114;607.926;2213.1
25500;255;242.499;1105.94;1107.48;-154.034;738.323;610.303;2213.43
25600;256;243.374;1105.93;1106.96;-103.266;737.976;612.681;2212.9
25700;257;244.351;1105.92;1109.27;-335.542;739.515;615.059;2215.19
25800;258;245.288;1105.93;1106.98;-10.435;737.985;617.437;2212.91
25900;259;246.308;1105.92;1107.36;-144.004;738.243;619.814;2213.29
26000;260;247.202;1105.94;1107.24;-129.704;738.157;622.192;2213.17
26100;261;248.103;1105.93;1107.01;-107.416;738.004;624.57;2212.94
26200;262;249.099;1105.97;1108.65;-267.729;739.099;626.948;2214.62
26300;263;250.08;1105.93;1106.95;-10.179;737.968;629.325;2212.88
26400;264;251.066;1105.92;1107.73;-181.086;738.485;631.703;2213.64
26500;265;251.94;1105.94;1107.1;-115.877;738.063;634.081;2213.03
26600;266;252.876;1105.93;1107.08;-115.056;738.054;636.458;2213.01
26700;267;253.9;1105.95;1107.8;-18.524;738.536;638.836;2213.75
26800;268;254.877;1105.93;1106.95;-101.608;737.966;641.214;2212.88
26900;269;255.857;1105.9;1108.49;-25.889;738.992;643.591;2214.39
27000;270;256.728;1105.93;1107.01;-107.716;738.008;645.969;2212.95
27100;271;257.714;1105.93;1107.21;-128.132;738.139;648.347;2213.14
27200;272;258.771;1105.94;1107.4;-145.876;738.267;650.724;2213.34
27300;273;259.706;1105.93;1106.97;-103.785;73.798;653.102;2212.9
27400;274;260.618;1105.94;1109.33;-338.552;739.553;655.479;2215.27
27500;275;261.447;1105.93;1106.97;-103.147;737.977;657.857;2212.9
27600;276;262.44;1105.92;1107.43;-151.148;73.829;660.235;2213.36
27700;277;263.412;1105.94;1107.19;-125.062;738.126;662.612;2213.13
27800;278;264.3;1105.93;1107.02;-108.745;738.012;664.99;2212.95
27900;279;265.233;1105.97;1108.36;-239.887;738.909;667.367;2214.33
28000;280;266.116;1105.93;1106.95;-101.245;737.964;669.745;2212.88
28100;281;267.176;1105.91;1107.87;-195.828;738.581;672.123;2213.78
28200;282;268.083;1105.94;1107.07;-113.035;738.044;674.5;2213
28300;283;268.985;1105.93;1107.1;-117.565;73.807;676.878;2213.03
28400;284;269.918;1105.95;1107.67;-171.855;738.444;679.255;2213.61
28500;285;270.859;1105.93;1106.95;-101.675;737.966;681.633;2212.88
28600;286;271.931;1105.9;1108.78;-288.521;739.187;684.01;2214.68
28700;287;272.787;1105.93;1106.99;-105.962;737.996;686.388;2212.93
28800;288;273.712;1105.93;1107.25;-132.648;738.169;688.765;2213.18
28900;289;274.653;1105.94;1107.33;-138.946;73.822;691.143;2213.27
29000;290;275.656;1105.93;1106.98;-104.529;737.985;693.52;2212.91
29100;291;276.678;1105.97;1109.17;-320.917;73.945;695.898;2215.14
29200;292;277.525;1105.93;1106.96;-10.216;73.797;698.275;2212.89
29300;293;278.483;1105.92;1107.52;-159.714;738.346;700.652;2213.44
29400;294;279.443;1105.94;1107.15;-12.103;738.098;703.03;2213.09
29500;295;280.472;1105.93;1107.03;-110.367;738.023;705.407;2212.96
29600;296;281.437;1105.96;1108.12;-216.522;73.875;707.785;2214.08
29700;297;282.309;1105.93;1106.94;-100.891;737.961;710.162;2212.87
29800;298;283.315;1105.91;1108.05;-213.996;738.699;712.54;2213.96
29900;299;284.31;1105.94;1107.04;-110.556;738.027;714.917;2212.98
30000;300;285.325;1105.93;1107.13;-120.521;738.089;717.294;2213.06
30100;301;286.194;1105.95;1107.55;-160.775;738.369;719.672;2213.5
30200;302;287.044;1105.93;1106.95;-101.938;737.968;722.049;2212.88
30300;303;288.046;1105.9;1109.08;-31.763;739.385;724.427;2214.98
30400;304;288.993;1105.93;1106.98;-104.458;737.986;726.804;2212.91
30500;305;289.916;1105.93;1107.31;-137.974;738.204;729.181;2213.23
30600;306;290.799;1105.94;1107.27;-133.012;73.818;731.559;2213.21
30700;307;291.706;1105.93;1106.99;-105.503;737.991;733.936;2212.92
30800;308;292.754;1105.97;1108.89;-291.916;739.261;736.313;2214.86
30900;309;293.672;1105.93;1106.95;-101.373;737.965;738.691;2212.88
31000;310;294.6;1105.92;1107.62;-17.005;738.413;741.068;2213.54
31100;311;295.484;1105.94;1107.11;-117.516;738.075;743.445;2213.05
31200;312;296.44;1105.93;1107.05;-112.305;738.035;745.823;2212.98
31300;313;297.498;1105.95;1107.93;-197.388;738.619;748.2;2213.88
31400;314;298.377;1105.93;1106.94;-100.721;73.796;750.577;2212.87
31500;315;299.327;1105.9;1108.27;-236.317;738.844;752.955;2214.17
31600;316;300.217;1105.94;1107.02;-108.395;738.013;755.332;2212.95
31700;317;301.228;1105.93;1107.17;-123.984;738.112;757.709;2213.1
31800;318;302.239;1105.94;1107.46;-151.514;738.306;760.086;2213.4
31900;319;303.113;1105.93;1106.96;-102.397;737.971;762.464;2212.89
32000;320;304.092;1105.92;1109.29;-336.756;739.526;764.841;2215.21
32100;321;305;1105.93;1106.97;-103.184;737.977;767.218;2212.9
32200;322;306.06;1105.92;1107.37;-144.269;738.245;769.595;2213.29
32300;323;306.997;1105.94;1107.22;-1.279;738.145;771.973;2213.16
32400;324;307.894;1105.93;1107;-10.672;737.999;774.35;2212.93
32500;325;308.893;1105.97;1108.58;-26.152;739.057;776.727;2214.55
32600;326;309.853;1105.93;1106.94;-100.776;737.961;779.104;2212.87
32700;327;310.926;1105.92;1107.74;-182.619;738.495;781.482;2213.66
32800;328;311.776;1105.94;1107.08;-114.448;738.054;783.859;2213.02
32900;329;312.645;1105.93;1107.08;-114.593;73.805;786.236;2213.01
33000;330;313.605;1105.95;1107.77;-181.762;738.512;788.613;2213.72
33100;331;314.564;1105.93;1106.94;-100.733;73.796;790.99;2212.87
33200;332;315.541;1105.9;1108.53;-263.134;739.019;793.368;2214.43
33300;333;316.373;1105.93;1107;-10.652;73.8;795.745;2212.94
33400;334;317.301;1105.93;1107.21;-128.034;738.138;798.122;2213.14
33500;335;318.288;1105.94;1107.38;-143.699;738.252;800.499;2213.32
33600;336;319.263;1105.93;1106.96;-103.058;737.975;802.876;2212.89
33700;337;320.214;1105.95;1109.31;-3.359;739.538;805.253;2215.26
33800;338;321.056;1105.93;1106.96;-102.121;73.797;807.631;2212.89
33900;339;322.031;1105.92;1107.44;-151.745;738.294;810.008;2213.36
34000;340;323.035;1105.94;1107.17;-123.473;738.115;812.385;2213.11
34100;341;323.972;1105.93;1107.01;-108.197;738.009;814.762;2212.94
34200;342;324.912;1105.96;1108.31;-234.543;738.873;817.139;2214.27
34300;343;325.787;1105.93;1106.94;-10.036;737.958;819.516;2212.87
34400;344;326.812;1105.91;1107.89;-198.015;738.595;821.893;2213.8
34500;345;327.802;1105.94;1107.05;-111.768;738.036;824.271;2212.99
34600;346;328.707;1105.93;1107.1;-11.727;738.068;826.648;2213.03
34700;347;329.645;1105.95;1107.64;-168.924;738.424;829.025;2213.58
34800;348;330.565;1105.93;1106.94;-100.926;737.961;831.402;2212.87
34900;349;331.643;1105.9;1108.83;-293.215;739.219;833.779;2214.72
35000;350;332.567;1105.93;1106.98;-104.901;737.989;836.156;2212.92
35100;351;333.485;1105.93;1107.25;-132.774;738.169;838.533;2213.18
35200;352;334.434;1105.94;1107.31;-137.049;738.207;840.91;2213.25
35300;353;335.407;1105.93;1106.97;-103.928;737.981;843.287;2212.9
35400;354;336.514;1105.97;1109.12;-315.448;739.415;845.664;2215.09
35500;355;337.369;1105.93;1106.95;-101.255;737.964;848.041;2212.88
35600;356;338.254;1105.92;1107.53;-160.684;738.352;850.418;2213.45
35700;357;339.159;1105.94;1107.13;-119.623;738.089;852.796;2213.07
35800;358;340.131;1105.93;1107.03;-109.956;73.802;855.173;2212.96
35900;359;341.131;1105.96;1108.08;-212.062;738.719;857.55;2214.04
36000;360;341.954;1105.93;1106.93;-10.012;737.956;859.927;2212.87
36100;361;342.906;1105.91;1108.08;-216.958;738.718;862.304;2213.98
36200;362;343.835;1105.94;1107.03;-109.427;73.802;864.681;2212.97
36300;363;344.848;1105.93;1107.13;-12.039;738.088;867.058;2213.06
36400;364;345.777;1105.94;1107.53;-15.828;738.352;869.435;2213.47
